Data_Hora,Dificuldade,Rodada,Geracao,Fitness_Maximo_Global,Fitness_Medio_Pop
2026-09-01 16:28:38,3,2,4,373.9156,98.5068
2026-09-01 16:28:38,3,2,5,429.9075,103.2532
2026-09-01 16:28:38,3,2,6,429.9075,94.0674
2026-09-01 16:28:38,3,2,7,429.9075,110.1520
2026-09-01 16:28:38,3,2,8,429.9075,108.6774
2026-09-01 16:28:38,3,2,9,429.9075,114.0448
2026-09-01 16:28:38,3,2,10,429.9075,109.6826
2026-09-01 16:28:38,3,2,11,429.9075,110.9053
2026-09-01 16:28:38,3,2,12,429.9075,109.0304
2026-09-01 16:28:38,3,2,13,429.9075,120.8827
2026-09-01 16:28:38,3,2,14,429.9075,113.2195
2026-09-01 16:28:38,3,2,15,438.0392,134.7474
2026-09-01 16:28:38,3,2,16,438.0392,108.4081
2026-09-01 16:28:38,3,2,17,438.0392,108.5728
2026-09-01 16:29:31,1,4,1,562.1588,399.0352
2026-09-01 16:29:31,1,4,2,587.0163,446.1170
2026-09-01 16:29:31,1,4,3,587.0163,471.0625
2026-09-01 16:29:31,1,4,4,615.7471,536.2064
2026-09-01 16:29:31,1,4,5,615.7471,527.3504
2026-09-01 16:29:31,1,4,6,615.7471,528.5567
2026-09-01 16:29:31,1,4,7,615.7471,538.2233
2026-09-01 16:29:31,1,4,8,615.7471,534.8792
2026-09-01 16:29:31,1,4,9,658.4290,571.0242
2026-09-01 16:29:31,1,4,10,661.3901,561.7147
2026-09-01 16:29:31,1,4,11,676.5348,562.7503
2026-09-01 16:29:31,1,4,12,684.2329,544.4435
2026-09-01 16:29:31,1,4,13,684.2329,559.2561
2026-09-01 16:29:31,1,4,14,702.0226,597.0188
2026-09-01 16:29:31,1,4,15,733.7452,614.0495
2026-09-01 16:29:31,1,4,16,733.7452,614.9463
2026-09-01 16:29:31,1,4,17,733.7452,566.4702
2026-09-01 16:29:31,1,4,18,734.5907,560.0470
2026-09-01 16:29:31,1,4,19,734.5907,568.9582
2026-09-01 16:29:31,1,4,20,753.9857,574.0560
2026-09-01 16:29:31,1,4,21,753.9857,598.0419
2026-09-01 16:29:31,1,4,22,753.9857,560.2521
2026-09-01 16:29:31,1,4,23,753.9857,593.9998
2026-09-01 16:29:31,1,4,24,753.9857,547.9590
2026-09-01 16:29:31,1,4,25,753.9857,589.6654
2026-09-01 16:29:31,1,4,26,753.9857,559.8891
2026-09-01 16:29:31,1,4,27,753.9857,510.3518
2026-09-01 16:29:31,1,4,28,753.9857,542.9396
2026-09-01 16:30:05,2,3,1,418.8132,165.3645
2026-09-01 16:30:05,2,3,2,518.8371,215.7697
2026-09-01 16:30:05,2,3,3,518.8371,198.9174
2026-09-01 16:30:05,2,3,4,518.8371,214.5688
2026-09-01 16:30:05,2,3,5,518.8371,210.4516
2026-09-01 16:30:05,2,3,6,518.8371,213.2721
2026-09-01 16:30:05,2,3,7,518.8371,207.5436
2026-09-01 16:30:05,2,3,8,518.8371,224.1485
2026-09-01 16:30:05,2,3,9,518.8371,215.2333
2026-09-01 16:30:05,2,3,10,518.8371,235.6713
2026-09-01 16:30:05,2,3,11,518.8371,242.5924
2026-09-01 16:30:05,2,3,12,586.5425,230.4648
2026-09-01 16:30:05,2,3,13,586.5425,259.5240
2026-09-01 16:30:05,2,3,14,586.5425,264.0028
2026-09-01 16:30:05,2,3,15,586.5425,263.2079
2026-09-01 16:30:05,2,3,16,586.5425,262.3138
2026-09-01 16:30:05,2,3,17,587.7383,245.0560
2026-09-01 16:30:05,2,3,18,587.7383,241.7761
2026-09-01 16:30:05,2,3,19,587.7383,260.0538
2026-09-01 16:30:05,2,3,20,587.7383,256.1846
