Data_Hora,Dificuldade,Modo_EDS,Mobilidade,Classe,Fitness,HP,Atk,AtkSpd,MovSpd
2026-09-01 17:11:31,3,0,Rapido,Balanceado,438.73,62,35,0.59,6.77
2026-09-01 17:13:04,1,0,Lento,Tank,457.27,82,27,2.42,2.08
2026-09-01 17:13:04,1,0,Lento,Balanceado,515.07,33,32,2.38,2.55
2026-09-01 17:13:04,1,0,Lento,Dano(GlassCannon),635.15,27,41,2.44,1.89
2026-09-01 17:13:04,1,0,Medio,Tank,310.01,92,21,1.70,4.71
2026-09-01 17:13:04,1,0,Medio,Balanceado,344.09,51,37,1.15,5.28
2026-09-01 17:13:04,1,0,Medio,Dano(GlassCannon),368.98,20,39,1.18,6.11
2026-09-01 17:13:11,2,0,Lento,Tank,900.54,80,26,1.72,4.41
2026-09-01 17:13:11,2,0,Lento,Balanceado,940.30,69,33,1.58,3.76
2026-09-01 17:13:11,2,0,Lento,Dano(GlassCannon),416.84,15,25,1.71,3.46
2026-09-01 17:13:11,2,0,Medio,Tank,845.58,78,22,1.84,4.68
2026-09-01 17:13:11,2,0,Medio,Balanceado,857.32,76,27,1.43,4.58
2026-09-01 17:13:11,2,0,Medio,Dano(GlassCannon),198.75,19,23,2.46,4.97
2026-09-01 17:14:54,1,0,Lento,Tank,375.91,94,26,2.01,3.05
2026-09-01 17:14:54,1,0,Lento,Balanceado,559.15,49,39,2.26,2.03
2026-09-01 17:14:54,1,0,Lento,Dano(GlassCannon),591.44,38,40,2.31,2.10
2026-09-01 17:14:54,1,0,Medio,Tank,292.90,74,15,2.22,4.63
2026-09-01 17:14:54,1,0,Medio,Balanceado,429.15,36,30,1.91,4.84
2026-09-01 17:14:54,1,0,Medio,Dano(GlassCannon),287.15,10,33,1.69,4.69
2026-09-01 17:14:54,1,0,Rapido,Balanceado,257.74,26,11,2.45,6.58
2026-09-01 17:14:54,1,0,Rapido,Dano(GlassCannon),290.71,12,30,1.09,7.19
2026-09-01 17:16:17,2,0,Lento,Tank,891.33,82,25,1.79,4.10
2026-09-01 17:16:17,2,0,Lento,Balanceado,792.89,74,25,1.90,4.25
2026-09-01 17:16:17,2,0,Lento,Dano(GlassCannon),700.84,41,42,1.35,4.38
2026-09-01 17:16:17,2,0,Medio,Tank,861.48,74,24,1.76,4.72
2026-09-01 17:16:17,2,0,Medio,Balanceado,886.37,59,20,2.15,4.90
2026-09-01 17:16:17,2,0,Medio,Dano(GlassCannon),842.10,26,39,1.10,6.13
2026-09-01 17:16:17,2,0,Rapido,Tank,211.84,92,16,1.12,7.13
2026-09-01 17:16:17,2,0,Rapido,Balanceado,378.92,17,13,1.42,6.87
2026-09-01 17:16:37,3,0,Lento,Tank,1839.08,124,28,1.03,4.42
2026-09-01 17:16:37,3,0,Lento,Balanceado,1260.38,91,35,1.06,4.34
2026-09-01 17:16:37,3,0,Lento,Dano(GlassCannon),754.30,41,42,1.52,3.82
2026-09-01 17:16:37,3,0,Medio,Tank,2321.38,134,28,0.82,4.57
2026-09-01 17:16:37,3,0,Medio,Balanceado,1342.71,76,33,0.92,4.77
2026-09-01 17:16:37,3,0,Medio,Dano(GlassCannon),99.59,15,34,1.71,5.49
2026-09-01 17:16:37,3,0,Rapido,Tank,744.21,44,12,0.74,7.11
2026-09-01 17:16:37,3,0,Rapido,Balanceado,583.93,74,28,0.84,6.68
2026-09-01 17:16:37,3,0,Rapido,Dano(GlassCannon),239.48,27,29,0.70,6.98
2026-09-01 17:19:38,2,0,Lento,Tank,881.27,82,24,1.74,3.99
2026-09-01 17:19:38,2,0,Lento,Balanceado,923.52,85,29,1.88,3.14
2026-09-01 17:19:38,2,0,Lento,Dano(GlassCannon),424.05,25,43,1.62,3.66
2026-09-01 17:19:38,2,0,Medio,Tank,802.93,85,28,1.41,4.74
2026-09-01 17:19:38,2,0,Medio,Balanceado,769.09,64,32,0.97,5.09
2026-09-01 17:19:38,2,0,Medio,Dano(GlassCannon),659.14,18,21,2.16,6.27
2026-09-01 17:19:38,2,0,Rapido,Tank,750.11,64,18,1.51,6.78
2026-09-01 17:19:38,2,0,Rapido,Balanceado,341.90,47,35,0.73,6.88
2026-09-01 17:21:54,3,0,Lento,Tank,1867.46,104,31,1.10,3.88
2026-09-01 17:21:54,3,0,Lento,Balanceado,1552.60,64,26,1.88,4.49
2026-09-01 17:21:54,3,0,Lento,Dano(GlassCannon),902.32,36,40,1.58,4.25
2026-09-01 17:21:54,3,0,Medio,Tank,1509.59,103,28,0.64,4.75
2026-09-01 17:21:54,3,0,Medio,Balanceado,1244.40,30,24,2.02,5.64
2026-09-01 17:21:54,3,0,Medio,Dano(GlassCannon),712.46,32,35,1.56,5.16
2026-09-01 17:21:54,3,0,Rapido,Balanceado,682.87,50,31,0.83,7.12
2026-09-01 17:21:54,3,0,Rapido,Dano(GlassCannon),753.12,17,24,1.73,7.01
2026-09-01 17:22:33,2,0,Lento,Tank,847.76,99,29,1.55,3.62
2026-09-01 17:22:33,2,0,Lento,Balanceado,927.38,70,36,1.47,3.81
2026-09-01 17:22:33,2,0,Lento,Dano(GlassCannon),630.54,36,42,2.04,2.65
2026-09-01 17:22:33,2,0,Medio,Tank,704.75,113,21,1.28,5.00
2026-09-01 17:22:33,2,0,Medio,Balanceado,837.32,51,28,1.54,5.54
2026-09-01 17:22:33,2,0,Rapido,Tank,520.80,124,6,1.29,6.60
2026-09-01 17:22:33,2,0,Rapido,Balanceado,223.06,32,22,1.58,7.12
