Data_Hora,Dificuldade,Modo_EDS,Mobilidade,Classe,Fitness,HP,Atk,AtkSpd,MovSpd
2026-09-01 14:47:28,2,0,Rapido,Dano(GlassCannon),162.61,16,34,0.95,7.63
2026-09-01 14:47:43,1,0,Lento,Tank,182.44,79,26,1.68,2.67
2026-09-01 14:47:43,1,0,Lento,Balanceado,300.63,43,36,2.38,2.31
2026-09-01 14:47:43,1,0,Lento,Dano(GlassCannon),353.32,10,40,2.61,2.28
2026-09-01 14:47:43,1,0,Medio,Tank,152.88,105,25,1.31,4.70
2026-09-01 14:47:43,1,0,Medio,Balanceado,148.49,84,36,0.83,5.08
2026-09-01 14:47:43,1,0,Medio,Dano(GlassCannon),240.62,21,30,2.11,4.83
2026-09-01 14:47:43,1,0,Rapido,Tank,85.88,139,19,0.50,6.66
2026-09-01 14:47:43,1,0,Rapido,Balanceado,104.82,23,14,1.01,6.52
2026-09-01 14:47:43,1,0,Rapido,Dano(GlassCannon),177.86,23,38,1.01,6.52
2026-09-01 14:48:09,3,0,Lento,Tank,452.78,105,25,1.98,2.80
2026-09-01 14:48:09,3,0,Lento,Balanceado,375.80,62,33,1.65,4.14
2026-09-01 14:48:09,3,0,Lento,Dano(GlassCannon),273.41,24,40,1.23,4.46
2026-09-01 14:48:09,3,0,Medio,Tank,548.07,75,5,2.19,6.31
2026-09-01 14:48:09,3,0,Medio,Balanceado,636.24,43,31,1.00,5.76
2026-09-01 14:48:09,3,0,Medio,Dano(GlassCannon),356.79,25,31,1.05,6.24
2026-09-01 14:48:09,3,0,Rapido,Tank,463.74,37,5,2.25,6.87
2026-09-01 14:48:09,3,0,Rapido,Balanceado,514.02,39,16,1.23,6.87
2026-09-01 14:48:09,3,0,Rapido,Dano(GlassCannon),122.32,17,30,1.55,6.52
2026-09-01 14:48:36,1,0,Lento,Tank,173.39,95,25,1.58,4.12
2026-09-01 14:48:36,1,0,Lento,Balanceado,308.94,49,43,2.14,1.63
2026-09-01 14:48:36,1,0,Lento,Dano(GlassCannon),324.57,40,43,2.20,1.82
2026-09-01 14:48:36,1,0,Medio,Tank,151.27,79,26,1.15,6.01
2026-09-01 14:48:36,1,0,Medio,Balanceado,205.79,56,32,1.64,4.55
2026-09-01 14:48:36,1,0,Medio,Dano(GlassCannon),76.05,20,50,0.50,4.73
2026-09-01 14:48:36,1,0,Rapido,Tank,115.52,44,9,2.11,7.24
2026-09-01 14:48:36,1,0,Rapido,Balanceado,137.76,51,19,1.40,7.46
2026-09-01 14:49:05,2,0,Lento,Tank,211.44,110,23,1.62,4.02
2026-09-01 14:49:05,2,0,Lento,Balanceado,231.12,56,25,1.67,4.17
2026-09-01 14:49:05,2,0,Lento,Dano(GlassCannon),235.50,30,31,1.96,3.33
2026-09-01 14:49:05,2,0,Medio,Tank,221.72,74,24,1.54,5.30
2026-09-01 14:49:05,2,0,Medio,Balanceado,264.86,30,28,1.89,4.62
2026-09-01 14:49:05,2,0,Medio,Dano(GlassCannon),254.83,30,31,1.92,4.85
2026-09-01 14:49:05,2,0,Rapido,Tank,190.91,106,7,1.59,6.70
2026-09-01 14:49:05,2,0,Rapido,Balanceado,58.76,47,40,0.51,6.71
2026-09-01 14:49:05,2,0,Rapido,Dano(GlassCannon),78.52,19,19,2.11,6.53
2026-09-01 14:49:21,1,0,Lento,Tank,184.14,116,30,1.82,2.09
2026-09-01 14:49:21,1,0,Lento,Balanceado,281.83,43,36,2.25,2.64
2026-09-01 14:49:21,1,0,Lento,Dano(GlassCannon),362.98,10,47,2.46,1.63
2026-09-01 14:49:21,1,0,Medio,Tank,133.52,102,13,1.81,5.24
2026-09-01 14:49:21,1,0,Medio,Balanceado,196.40,37,36,1.29,5.00
2026-09-01 14:49:21,1,0,Medio,Dano(GlassCannon),247.11,12,30,2.12,5.02
2026-09-01 14:49:21,1,0,Rapido,Tank,64.39,67,5,1.03,6.78
2026-09-01 14:50:16,1,0,Lento,Tank,195.51,105,27,1.84,2.90
2026-09-01 14:50:16,1,0,Lento,Balanceado,285.37,44,38,2.13,2.61
